sourceRow,caseName,caseDir,pipeHeight_mm,D,placement,N,Qtot_uLmin,submitted,suggestCsv
0,AL01_T_N20_Q150_H8_D1.88e+09,cases_active/AL01_T_N20_Q150_H8_D1.88e+09,8.0,1880000000.0,T,20,150.0,True,suggest_next_explore_inbounds_v2_top20.csv
1,AL02_T_N2_Q125_H8_D1.88e+09,cases_active/AL02_T_N2_Q125_H8_D1.88e+09,8.0,1880000000.0,T,2,125.0,True,suggest_next_explore_inbounds_v2_top20.csv
2,AL03_T_N40_Q150_H8_D1.88e+09,cases_active/AL03_T_N40_Q150_H8_D1.88e+09,8.0,1880000000.0,T,40,150.0,True,suggest_next_explore_inbounds_v2_top20.csv
3,AL04_T_N6_Q125_H8_D1.88e+09,cases_active/AL04_T_N6_Q125_H8_D1.88e+09,8.0,1880000000.0,T,6,125.0,True,suggest_next_explore_inbounds_v2_top20.csv
4,AL05_T_N10_Q125_H8_D1.88e+09,cases_active/AL05_T_N10_Q125_H8_D1.88e+09,8.0,1880000000.0,T,10,125.0,True,suggest_next_explore_inbounds_v2_top20.csv
5,AL06_T_N50_Q125_H8_D1.88e+09,cases_active/AL06_T_N50_Q125_H8_D1.88e+09,8.0,1880000000.0,T,50,125.0,True,suggest_next_explore_inbounds_v2_top20.csv
6,AL07_T_N16_Q125_H8_D1.88e+09,cases_active/AL07_T_N16_Q125_H8_D1.88e+09,8.0,1880000000.0,T,16,125.0,True,suggest_next_explore_inbounds_v2_top20.csv
7,AL08_T_N20_Q125_H8_D1.88e+09,cases_active/AL08_T_N20_Q125_H8_D1.88e+09,8.0,1880000000.0,T,20,125.0,True,suggest_next_explore_inbounds_v2_top20.csv
8,AL09_T_N2_Q100_H8_D1.88e+09,cases_active/AL09_T_N2_Q100_H8_D1.88e+09,8.0,1880000000.0,T,2,100.0,True,suggest_next_explore_inbounds_v2_top20.csv
9,AL10_T_N40_Q125_H8_D1.88e+09,cases_active/AL10_T_N40_Q125_H8_D1.88e+09,8.0,1880000000.0,T,40,125.0,True,suggest_next_explore_inbounds_v2_top20.csv
10,AL11_T_N30_Q125_H8_D1.88e+09,cases_active/AL11_T_N30_Q125_H8_D1.88e+09,8.0,1880000000.0,T,30,125.0,True,suggest_next_explore_inbounds_v2_top20.csv
11,AL12_T_N50_Q100_H8_D1.88e+09,cases_active/AL12_T_N50_Q100_H8_D1.88e+09,8.0,1880000000.0,T,50,100.0,True,suggest_next_explore_inbounds_v2_top20.csv
12,AL13_T_N6_Q100_H8_D1.88e+09,cases_active/AL13_T_N6_Q100_H8_D1.88e+09,8.0,1880000000.0,T,6,100.0,True,suggest_next_explore_inbounds_v2_top20.csv
13,AL14_T_N10_Q100_H8_D1.88e+09,cases_active/AL14_T_N10_Q100_H8_D1.88e+09,8.0,1880000000.0,T,10,100.0,True,suggest_next_explore_inbounds_v2_top20.csv
14,AL15_TS_N50_Q15_H8_D1.88e+09,cases_active/AL15_TS_N50_Q15_H8_D1.88e+09,8.0,1880000000.0,TS,50,15.0,True,suggest_next_explore_inbounds_v2_top20.csv
15,AL16_T_N50_Q75_H8_D1.88e+09,cases_active/AL16_T_N50_Q75_H8_D1.88e+09,8.0,1880000000.0,T,50,75.0,True,suggest_next_explore_inbounds_v2_top20.csv
16,AL17_TS_N50_Q20_H8_D1.88e+09,cases_active/AL17_TS_N50_Q20_H8_D1.88e+09,8.0,1880000000.0,TS,50,20.0,True,suggest_next_explore_inbounds_v2_top20.csv
17,AL18_T_N40_Q100_H8_D1.88e+09,cases_active/AL18_T_N40_Q100_H8_D1.88e+09,8.0,1880000000.0,T,40,100.0,True,suggest_next_explore_inbounds_v2_top20.csv
18,AL19_T_N50_Q15_H8_D1.88e+09,cases_active/AL19_T_N50_Q15_H8_D1.88e+09,8.0,1880000000.0,T,50,15.0,True,suggest_next_explore_inbounds_v2_top20.csv
19,AL20_T_N16_Q100_H8_D1.88e+09,cases_active/AL20_T_N16_Q100_H8_D1.88e+09,8.0,1880000000.0,T,16,100.0,True,suggest_next_explore_inbounds_v2_top20.csv
